"Date","Match","Score","saison"
"27.05.2011","Angers - Dijon","1:0",2010
"27.05.2011","Clermont - Boulogne","1:0",2010
"27.05.2011","Evian TG - Metz","4:3",2010
"27.05.2011","Istres - Chateauroux","5:3",2010
"27.05.2011","Laval - Reims","1:2",2010
"27.05.2011","Le Havre - Grenoble","5:0",2010
"27.05.2011","Le Mans - Nantes","3:2",2010
"27.05.2011","Nimes - AC Ajaccio","1:2",2010
"27.05.2011","Sedan - Tours","1:0",2010
"27.05.2011","Troyes - Vannes","0:1",2010
"20.05.2011","AC Ajaccio - Istres","2:0",2010
"20.05.2011","Chateauroux - Sedan","1:0",2010
"20.05.2011","Dijon - Boulogne","1:1",2010
"20.05.2011","Grenoble - Clermont","2:2",2010
"20.05.2011","Metz - Nimes","3:0",2010
"20.05.2011","Nantes - Le Havre","2:1",2010
"20.05.2011","Reims - Evian TG","1:2",2010
"20.05.2011","Tours - Angers","1:1",2010
"20.05.2011","Troyes - Laval","3:2",2010
"20.05.2011","Vannes - Le Mans","4:3",2010
"16.05.2011","Dijon - Grenoble","2:1",2010
"16.05.2011","Le Mans - Laval","4:0",2010
"13.05.2011","Angers - AC Ajaccio","3:1",2010
"13.05.2011","Boulogne - Chateauroux","3:2",2010
"13.05.2011","Clermont - Reims","1:1",2010
"13.05.2011","Evian TG - Troyes","3:0",2010
"13.05.2011","Istres - Metz","2:3",2010
"13.05.2011","Le Havre - Vannes","3:4",2010
"13.05.2011","Nimes - Tours","2:3",2010
"13.05.2011","Sedan - Nantes","3:1",2010
"10.05.2011","AC Ajaccio - Clermont","1:0",2010
"10.05.2011","Chateauroux - Angers","1:2",2010
"10.05.2011","Grenoble - Boulogne","2:2",2010
"10.05.2011","Metz - Le Havre","2:0",2010
"10.05.2011","Nantes - Istres","2:1",2010
"10.05.2011","Reims - Sedan","1:0",2010
"10.05.2011","Tours - Dijon","0:1",2010
"10.05.2011","Troyes - Le Mans","0:1",2010
"10.05.2011","Vannes - Nimes","3:1",2010
"09.05.2011","Laval - Evian TG","2:2",2010
"06.05.2011","Angers - Vannes","3:0",2010
"06.05.2011","Boulogne - AC Ajaccio","0:1",2010
"06.05.2011","Clermont - Nantes","2:1",2010
"06.05.2011","Dijon - Chateauroux","3:1",2010
"06.05.2011","Grenoble - Evian TG","1:1",2010
"06.05.2011","Istres - Laval","0:1",2010
"06.05.2011","Le Havre - Troyes","1:2",2010
"06.05.2011","Le Mans - Tours","3:0",2010
"06.05.2011","Nimes - Reims","2:2",2010
"06.05.2011","Sedan - Metz","3:1",2010
"02.05.2011","Evian TG - Le Mans","3:0",2010
"29.04.2011","AC Ajaccio - Sedan","0:0",2010
"29.04.2011","Chateauroux - Clermont","3:1",2010
"29.04.2011","Laval - Le Havre","2:1",2010
"29.04.2011","Metz - Boulogne","3:1",2010
"29.04.2011","Nantes - Angers","2:0",2010
"29.04.2011","Reims - Dijon","1:2",2010
"29.04.2011","Tours - Grenoble","2:2",2010
"29.04.2011","Troyes - Nimes","1:3",2010
"29.04.2011","Vannes - Istres","2:2",2010
"25.04.2011","Dijon - AC Ajaccio","1:1",2010
"23.04.2011","Angers - Reims","0:1",2010
"22.04.2011","Boulogne - Tours","3:2",2010
"22.04.2011","Clermont - Vannes","1:0",2010
"22.04.2011","Grenoble - Chateauroux","1:1",2010
"22.04.2011","Istres - Troyes","2:0",2010
"22.04.2011","Le Havre - Evian TG","0:0",2010
"22.04.2011","Le Mans - Metz","0:0",2010
"22.04.2011","Nimes - Nantes","2:2",2010
"22.04.2011","Sedan - Laval","2:0",2010
"18.04.2011","Le Mans - Le Havre","1:0",2010
"15.04.2011","AC Ajaccio - Grenoble","1:0",2010
"15.04.2011","Chateauroux - Tours","3:0",2010
"15.04.2011","Evian TG - Istres","3:2",2010
"15.04.2011","Laval - Nimes","1:0",2010
"15.04.2011","Metz - Clermont","3:3",2010
"15.04.2011","Nantes - Dijon","1:1",2010
"15.04.2011","Reims - Boulogne","4:1",2010
"15.04.2011","Troyes - Angers","1:2",2010
"15.04.2011","Vannes - Sedan","0:3",2010
"11.04.2011","Tours - AC Ajaccio","2:2",2010
"08.04.2011","Angers - Metz","0:0",2010
"08.04.2011","Boulogne - Vannes","0:1",2010
"08.04.2011","Chateauroux - Nantes","0:0",2010
"08.04.2011","Clermont - Troyes","2:2",2010
"08.04.2011","Dijon - Laval","2:0",2010
"08.04.2011","Grenoble - Reims","1:1",2010
"08.04.2011","Istres - Le Mans","0:0",2010
"08.04.2011","Nimes - Le Havre","1:1",2010
"08.04.2011","Sedan - Evian TG","1:4",2010
"04.04.2011","Nantes - Boulogne","1:2",2010
"01.04.2011","AC Ajaccio - Chateauroux","1:1",2010
"01.04.2011","Evian TG - Nimes","1:0",2010
"01.04.2011","Laval - Clermont","1:1",2010
"01.04.2011","Le Havre - Istres","1:2",2010
"01.04.2011","Le Mans - Angers","0:0",2010
"01.04.2011","Metz - Grenoble","0:1",2010
"01.04.2011","Reims - Tours","4:1",2010
"01.04.2011","Troyes - Sedan","0:2",2010
"01.04.2011","Vannes - Dijon","2:4",2010
"21.03.2011","Tours - Nantes","2:1",2010
"18.03.2011","AC Ajaccio - Reims","3:0",2010
"18.03.2011","Angers - Evian TG","3:0",2010
"18.03.2011","Boulogne - Troyes","2:0",2010
"18.03.2011","Chateauroux - Vannes","0:2",2010
"18.03.2011","Clermont - Le Mans","0:0",2010
"18.03.2011","Dijon - Metz","2:1",2010
"18.03.2011","Grenoble - Laval","1:2",2010
"18.03.2011","Nimes - Istres","2:0",2010
"18.03.2011","Sedan - Le Havre","1:1",2010
"14.03.2011","Le Mans - Nimes","1:1",2010
"11.03.2011","Evian TG - Clermont","1:1",2010
"11.03.2011","Istres - Sedan","5:3",2010
"11.03.2011","Laval - Angers","1:1",2010
"11.03.2011","Le Havre - Boulogne","2:0",2010
"11.03.2011","Metz - Tours","1:0",2010
"11.03.2011","Nantes - AC Ajaccio","2:0",2010
"11.03.2011","Reims - Chateauroux","1:1",2010
"11.03.2011","Troyes - Dijon","2:0",2010
"11.03.2011","Vannes - Grenoble","1:1",2010
"07.03.2011","Boulogne - Evian TG","1:2",2010
"05.03.2011","Angers - Le Havre","0:0",2010
"05.03.2011","Dijon - Le Mans","3:2",2010
"04.03.2011","AC Ajaccio - Laval","1:1",2010
"04.03.2011","Chateauroux - Troyes","1:0",2010
"04.03.2011","Clermont - Istres","2:0",2010
"04.03.2011","Grenoble - Nantes","2:0",2010
"04.03.2011","Reims - Metz","2:2",2010
"04.03.2011","Sedan - Nimes","1:0",2010
"04.03.2011","Tours - Vannes","2:0",2010
"28.02.2011","Le Havre - Tours","4:3",2010
"25.02.2011","Evian TG - Dijon","0:2",2010
"25.02.2011","Istres - Angers","1:1",2010
"25.02.2011","Laval - Boulogne","4:0",2010
"25.02.2011","Le Mans - Sedan","1:1",2010
"25.02.2011","Metz - Chateauroux","0:0",2010
"25.02.2011","Nantes - Reims","1:1",2010
"25.02.2011","Nimes - Clermont","1:2",2010
"25.02.2011","Troyes - Grenoble","2:0",2010
"25.02.2011","Vannes - AC Ajaccio","0:1",2010
"21.02.2011","Boulogne - Le Mans","1:0",2010
"18.02.2011","AC Ajaccio - Evian TG","1:0",2010
"18.02.2011","Angers - Nimes","2:0",2010
"18.02.2011","Chateauroux - Laval","1:0",2010
"18.02.2011","Clermont - Sedan","1:1",2010
"18.02.2011","Dijon - Le Havre","0:0",2010
"18.02.2011","Grenoble - Istres","0:2",2010
"18.02.2011","Nantes - Metz","0:0",2010
"18.02.2011","Reims - Vannes","3:1",2010
"18.02.2011","Tours - Troyes","1:0",2010
"14.02.2011","Metz - AC Ajaccio","2:2",2010
