"Date","Match","Score","saison"
"19.02.2011","Mainz - Bayern Munich","1:3",2010
"18.02.2011","Nurnberg - Eintracht Frankfurt","3:0",2010
"16.02.2011","Hamburger SV - St. Pauli","0:1",2010
"13.02.2011","FC Koln - Mainz","4:2",2010
"13.02.2011","Werder Bremen - Hannover","1:1",2010
"12.02.2011","Bayern Munich - Hoffenheim","4:0",2010
"12.02.2011","Eintracht Frankfurt - Bayer Leverkusen","0:3",2010
"12.02.2011","Kaiserslautern - Dortmund","1:1",2010
"12.02.2011","Schalke - Freiburg","1:0",2010
"12.02.2011","St. Pauli - B. Monchengladbach","3:1",2010
"12.02.2011","Stuttgart - Nurnberg","1:4",2010
"12.02.2011","Wolfsburg - Hamburger SV","0:1",2010
"06.02.2011","Freiburg - Eintracht Frankfurt","0:0",2010
"05.02.2011","FC Koln - Bayern Munich","3:2",2010
"05.02.2011","B. Monchengladbach - Stuttgart","2:3",2010
"05.02.2011","Hannover - Wolfsburg","1:0",2010
"05.02.2011","Hoffenheim - Kaiserslautern","3:2",2010
"05.02.2011","Mainz - Werder Bremen","1:1",2010
"05.02.2011","Nurnberg - Bayer Leverkusen","1:0",2010
"04.02.2011","Dortmund - Schalke","0:0",2010
"30.01.2011","Eintracht Frankfurt - B. Monchengladbach","0:1",2010
"30.01.2011","Stuttgart - Freiburg","0:1",2010
"29.01.2011","Kaiserslautern - Mainz","0:1",2010
"29.01.2011","Nurnberg - Hamburger SV","2:0",2010
"29.01.2011","Schalke - Hoffenheim","0:1",2010
"29.01.2011","St. Pauli - FC Koln","3:0",2010
"29.01.2011","Werder Bremen - Bayern Munich","1:3",2010
"29.01.2011","Wolfsburg - Dortmund","0:3",2010
"28.01.2011","Bayer Leverkusen - Hannover","2:0",2010
"23.01.2011","B. Monchengladbach - Bayer Leverkusen","1:3",2010
"23.01.2011","Hoffenheim - St. Pauli","2:2",2010
"22.01.2011","FC Koln - Werder Bremen","3:0",2010
"22.01.2011","Bayern Munich - Kaiserslautern","5:1",2010
"22.01.2011","Dortmund - Stuttgart","1:1",2010
"22.01.2011","Freiburg - Nurnberg","1:1",2010
"22.01.2011","Hannover - Schalke","0:1",2010
"22.01.2011","Mainz - Wolfsburg","0:1",2010
"21.01.2011","Hamburger SV - Eintracht Frankfurt","1:0",2010
"16.01.2011","Eintracht Frankfurt - Hannover","0:3",2010
"16.01.2011","Kaiserslautern - FC Koln","1:1",2010
"15.01.2011","Nurnberg - B. Monchengladbach","0:1",2010
"15.01.2011","Schalke - Hamburger SV","0:1",2010
"15.01.2011","St. Pauli - Freiburg","2:2",2010
"15.01.2011","Stuttgart - Mainz","1:0",2010
"15.01.2011","Werder Bremen - Hoffenheim","2:1",2010
"15.01.2011","Wolfsburg - Bayern Munich","1:1",2010
"14.01.2011","Bayer Leverkusen - Dortmund","1:3",2010
"19.12.2010","Bayer Leverkusen - Freiburg","2:2",2010
"19.12.2010","Stuttgart - Bayern Munich","3:5",2010
"18.12.2010","Eintracht Frankfurt - Dortmund","1:0",2010
"18.12.2010","Nurnberg - Hannover","3:1",2010
"18.12.2010","Schalke - FC Koln","3:0",2010
"18.12.2010","St. Pauli - Mainz","2:4",2010
"18.12.2010","Werder Bremen - Kaiserslautern","1:2",2010
"18.12.2010","Wolfsburg - Hoffenheim","2:2",2010
"17.12.2010","B. Monchengladbach - Hamburger SV","1:2",2010
"12.12.2010","Freiburg - B. Monchengladbach","3:0",2010
"12.12.2010","Mainz - Schalke","0:1",2010
"11.12.2010","FC Koln - Eintracht Frankfurt","1:0",2010
"11.12.2010","Bayern Munich - St. Pauli","3:0",2010
"11.12.2010","Dortmund - Werder Bremen","2:0",2010
"11.12.2010","Hamburger SV - Bayer Leverkusen","2:4",2010
"11.12.2010","Hoffenheim - Nurnberg","1:1",2010
"11.12.2010","Kaiserslautern - Wolfsburg","0:0",2010
"10.12.2010","Hannover - Stuttgart","2:1",2010
